sector,layer,median_price,transaction_count,ew_percentile,neighbour_count,neighbourhood_median,pct_above_neighbourhood,low_transaction_count,min_sales_threshold,priced_neighbour_count,low_count_neighbour_count,has_geometry,analysis_status
L7 1,2,220000.0,33,28.555785375349803,19,132500.0,0.6603773584905661,False,20,18,4,True,ok
W8 7,2,1950000.0,203,99.54982357951089,19,1175000.0,0.6595744680851063,False,20,19,0,True,ok
CF64 3,2,389950.0,313,70.72028227278257,12,235000.0,0.6593617021276597,False,20,12,0,True,ok
AL5 4,2,705000.0,333,94.9689743277771,23,425000.0,0.6588235294117648,False,20,23,0,True,ok
HU6 0,2,240000.0,21,34.59058279596058,18,145000.0,0.6551724137931034,False,20,18,0,True,ok
CF23 5,2,440000.0,399,78.6652877479012,20,266375.0,0.6518066635382449,False,20,20,0,True,ok
WF8 3,2,295000.0,252,50.121669302834896,22,178750.0,0.6503496503496504,False,20,22,0,True,ok
CA8 9,2,330000.0,87,59.15561503832583,27,200000.0,0.6499999999999999,False,20,27,1,True,ok
GL4 8,2,506875.0,92,85.72819077746685,34,307500.0,0.6483739837398375,False,20,34,1,True,ok
HA6 2,2,880000.0,251,97.402360384475,26,534000.0,0.6479400749063671,False,20,26,0,True,ok
LA22 9,2,490250.0,108,84.25599221316462,26,297500.0,0.6478991596638655,False,20,26,1,True,ok
BA2 6,2,740000.0,410,95.72332400535343,22,449375.0,0.6467315716272601,False,20,22,0,True,ok
GL6 7,2,631000.0,126,92.93709697043435,26,383248.75,0.6464502493484976,False,20,26,0,True,ok
WC2A 2,2,1564000.0,9,99.23348339214016,22,950000.0,0.6463157894736842,True,20,19,11,True,ok
W11 4,2,1267500.0,162,98.78330697165106,19,770000.0,0.6461038961038961,False,20,19,0,True,ok
CV7 7,2,440000.0,413,78.6652877479012,37,267500.0,0.6448598130841121,False,20,37,1,True,ok
WA6 6,2,415000.0,213,74.71103540576712,22,252500.0,0.6435643564356435,False,20,22,0,True,ok
BR2 6,2,920000.0,110,97.62744859471955,21,560000.0,0.6428571428571428,False,20,21,0,True,ok
CH47 4,2,535000.0,35,87.71140041367563,20,326250.0,0.6398467432950192,False,20,20,1,True,ok
CH60 3,2,622700.0,41,92.42000243338606,14,379750.0,0.6397630019749836,False,20,14,3,True,ok
BN7 3,2,705000.0,110,94.9689743277771,37,430000.0,0.6395348837209303,False,20,37,1,True,ok
S11 9,2,500000.0,457,85.14417812385935,16,305000.0,0.639344262295082,False,20,16,0,True,ok
BS40 6,2,600000.0,67,91.5439834529748,30,367000.0,0.6348773841961852,False,20,30,1,True,ok
B91 1,2,555000.0,463,89.01326195400901,19,340000.0,0.6323529411764706,False,20,19,0,True,ok
CA27 0,2,220000.0,85,28.555785375349803,8,134975.0,0.6299314687905169,False,20,8,0,True,ok
CH60 2,2,480000.0,68,83.24005353449326,23,295000.0,0.6271186440677967,False,20,23,2,True,ok
M25 0,2,325000.0,200,57.99367319625258,17,200000.0,0.625,False,20,17,0,True,ok
NE41 8,2,325000.0,93,57.99367319625258,21,200000.0,0.625,False,20,21,0,True,ok
OL3 5,2,341250.0,312,61.64983574644117,36,210000.0,0.625,False,20,36,0,True,ok
WD25 8,2,861000.0,37,97.26244068621487,33,530000.0,0.6245283018867924,False,20,33,0,True,ok
WA4 5,2,491250.0,436,84.2681591434481,16,302500.0,0.6239669421487604,False,20,16,0,True,ok
SW7 1,2,2942500.0,104,99.81749604574766,38,1812500.0,0.623448275862069,False,20,38,6,True,ok
LA14 4,2,250000.0,279,37.717483878817376,10,154000.0,0.6233766233766234,False,20,10,0,True,ok
B46 2,2,422000.0,71,75.91556150383258,42,260000.0,0.6230769230769231,False,20,42,1,True,ok
SR3 2,2,235000.0,684,33.14271809222533,18,145000.0,0.6206896551724137,False,20,18,0,True,ok
WA4 4,2,470000.0,276,82.10852901812873,32,290000.0,0.6206896551724137,False,20,32,0,True,ok
TS7 0,2,299747.5,488,50.94293709697043,23,185000.0,0.6202567567567567,False,20,23,0,True,ok
HG3 1,2,574995.0,249,90.19345419150748,32,355000.0,0.6197042253521128,False,20,32,0,True,ok
