sector,transaction_count,median_price,mean_price,p25_price,p75_price,ew_percentile,low_transaction_count,min_sales_threshold
B70 7,69,210000.0,206092.39130434784,175000.0,245000.0,25.6053047816036,False,20
B70 8,83,185000.0,186407.8313253012,128500.0,239000.0,18.432899379486557,False,20
B70 9,114,190000.0,184067.97368421053,145000.0,219500.0,19.959849130064487,False,20
B71 1,151,210000.0,203722.8476821192,160000.0,255000.0,25.6053047816036,False,20
B71 2,223,206000.0,207016.35874439462,180000.0,235000.0,24.619783428640954,False,20
B71 3,413,270000.0,259723.39709443098,200000.0,319995.0,43.569777345175815,False,20
B71 4,103,225000.0,239274.7572815534,177500.0,278375.0,30.143569777345174,False,20
B72 1,425,369000.0,381134.61176470586,235000.0,485000.0,66.74777953522326,False,20
B73 5,492,332750.0,340597.34349593497,224625.0,440000.0,59.86129699476822,False,20
B73 6,402,385000.0,411935.447761194,296250.0,493750.0,70.2214381311595,False,20
B74 2,374,360000.0,509165.0320855615,255000.0,626250.0,65.14174473780265,False,20
B74 3,513,365000.0,477191.80311890837,290000.0,520000.0,66.10293223019832,False,20
B74 4,509,430000.0,485067.00196463655,285000.0,600000.0,77.35125927728434,False,20
B75 5,368,399975.0,452151.4945652174,310000.0,545000.0,72.19856430222656,False,20
B75 6,323,460000.0,508806.0,387250.0,572500.0,81.13517459544957,False,20
B75 7,439,304000.0,327898.36902050115,250000.0,404375.0,52.561138824674536,False,20
B76 0,10,510000.0,507025.0,382500.0,670000.0,85.96544591799488,True,20
B76 1,440,340000.0,345624.08636363636,250000.0,425000.0,61.309161698503466,False,20
B76 2,255,318000.0,325847.58431372547,250750.0,376750.0,55.773208419515754,False,20
B76 9,126,300000.0,341419.2380952381,245000.0,386875.0,51.65470251855457,False,20
B77 1,443,260000.0,274209.2054176072,200000.0,320000.0,40.716632193697535,False,20
B77 2,469,218000.0,222305.05970149254,175000.0,255250.0,27.83185302348218,False,20
B77 3,352,231250.0,244315.15625,196750.0,275000.0,32.26061564667235,False,20
B77 4,651,265000.0,290440.77265745006,200250.0,374000.0,42.18274729285801,False,20
B77 5,376,245000.0,248473.5239361702,185000.0,300000.0,36.05061442997932,False,20
B78 1,395,240000.0,258406.08860759492,196000.0,300000.0,34.59058279596058,False,20
B78 2,168,260000.0,300245.1904761905,210000.0,324250.0,40.716632193697535,False,20
B78 3,606,275000.0,305742.8597359736,220000.0,355246.25,44.84730502494221,False,20
B79 0,326,359872.5,380363.1134969325,267812.5,449750.0,64.81323762014843,False,20
B79 7,292,185000.0,208778.29452054793,137500.0,265000.0,18.432899379486557,False,20
B79 8,380,255000.0,265895.5789473684,194246.25,319625.0,39.068013140284705,False,20
B79 9,83,430000.0,484917.3493975904,326000.0,580000.0,77.35125927728434,False,20
B8 1,81,158860.0,162283.13580246913,130000.0,184000.0,11.424747536196618,False,20
B8 2,205,195000.0,196972.88292682928,160000.0,234000.0,21.395546903516244,False,20
B8 3,155,176000.0,171142.90322580645,150000.0,200000.0,15.950845601654704,False,20
B80 7,308,290000.0,325453.1331168831,237500.0,371250.0,48.89280934420246,False,20
B9 4,62,140500.0,164046.7741935484,120000.0,198750.0,7.719917264874073,False,20
B9 5,227,189000.0,190751.12334801763,160000.0,225000.0,19.40625380216571,False,20
B90 1,675,297500.0,335393.9185185185,185000.0,395000.0,50.71784888672588,False,20
B90 2,572,345000.0,358248.24475524476,300000.0,410000.0,62.16084681834773,False,20
B90 3,499,360000.0,352850.96793587174,271500.0,430000.0,65.14174473780265,False,20
B90 4,738,345000.0,355757.26558265585,256125.0,445000.0,62.16084681834773,False,20
B90 8,178,469950.0,452040.1685393258,385625.0,539950.0,81.93819199415987,False,20
B91 1,463,555000.0,591680.9244060476,347500.0,766250.0,89.01326195400901,False,20
B91 2,505,340000.0,389940.77425742574,205000.0,530000.0,61.309161698503466,False,20
B91 3,454,425000.0,485476.5,250000.0,615000.0,76.45698990144787,False,20
B92 0,193,492500.0,521636.2694300518,325000.0,615000.0,84.34116072514904,False,20
B92 7,499,282000.0,320706.9378757515,228500.0,359625.0,47.086020197104276,False,20
B92 8,500,310000.0,310063.568,250000.0,370500.0,53.948168876992334,False,20
B92 9,313,284000.0,290367.7124600639,240000.0,330000.0,47.41452731475849,False,20
B93 0,178,400000.0,507750.28089887643,277000.0,646000.0,72.52707141988076,False,20
B93 8,363,600000.0,685295.1845730027,381500.0,840000.0,91.54398345297481,False,20
B93 9,292,591000.0,637392.6472602739,489000.0,713250.0,91.13639128847791,False,20
B94 5,118,663750.0,861097.8813559322,526250.0,1107500.0,93.86786713712131,False,20
B94 6,121,525000.0,710890.0826446281,400000.0,745000.0,87.06046964350894,False,20
B95 5,228,425000.0,543302.0701754387,283500.0,619750.0,76.45698990144787,False,20
B95 6,52,547500.0,609528.8461538461,362750.0,788750.0,88.35016425355883,False,20
B96 6,214,417500.0,454443.91588785045,275000.0,600000.0,75.18554568682322,False,20
B97 4,279,212500.0,236337.8853046595,145000.0,299972.5,26.40832218031391,False,20
B97 5,820,309500.0,325537.38902439026,235000.0,400000.0,53.50407592164497,False,20
B97 6,516,265000.0,271486.04263565893,212000.0,325500.0,42.18274729285801,False,20
B98 0,466,245000.0,256564.78111587983,200250.0,295000.0,36.05061442997932,False,20
B98 7,676,228750.0,240441.48668639053,177875.0,288500.0,31.141258060591316,False,20
B98 8,269,215000.0,238114.2565055762,176000.0,280000.0,26.998418299063147,False,20
B98 9,219,266500.0,325686.6438356164,195000.0,382750.0,42.69375836476457,False,20
BA1 1,54,415000.0,436150.0,280000.0,528750.0,74.71103540576712,False,20
BA1 2,304,450000.0,655295.5460526316,310000.0,726250.0,80.05840126536074,False,20
BA1 3,347,480000.0,528632.5734870317,335000.0,675000.0,83.24005353449326,False,20
BA1 4,207,445000.0,480708.21256038646,357500.0,567000.0,79.26146733179219,False,20
BA1 5,284,572500.0,805218.4366197183,326500.0,980000.0,90.14478647037353,False,20
BA1 6,374,420000.0,460147.7807486631,295000.0,544062.5,75.5627205256114,False,20
BA1 7,255,505000.0,669235.6352941176,375500.0,797500.0,85.6004380094902,False,20
BA1 8,48,448750.0,665327.5416666666,308750.0,850000.0,79.54739019345419,False,20
BA1 9,58,740000.0,789189.6551724138,555000.0,939000.0,95.72332400535345,False,20
BA10 0,144,349000.0,427432.875,250000.0,511875.0,62.73269254167173,False,20
BA11 1,470,325000.0,351979.7404255319,230000.0,429000.0,57.99367319625258,False,20
BA11 2,376,335000.0,390098.4308510638,262000.0,435500.0,60.3479742061078,False,20
BA11 3,224,294000.0,361686.02678571426,225000.0,416250.0,49.714077138338,False,20
BA11 4,288,351000.0,386015.75694444444,275000.0,460587.5,63.602628056941235,False,20
BA11 5,178,347475.0,425446.62921348313,280000.0,479125.0,62.531938191994165,False,20
BA11 6,77,499950.0,572167.9480519481,350000.0,672000.0,84.84608833191386,False,20
BA12 0,173,440000.0,479316.5722543353,275000.0,625000.0,78.6652877479012,False,20
BA12 6,200,373750.0,419103.83,279375.0,460000.0,67.70288356247718,False,20
BA12 7,110,402500.0,488371.36363636365,288125.0,682500.0,72.95291397980289,False,20
BA12 8,653,293000.0,309577.12098009186,237000.0,360000.0,49.653242486920554,False,20
BA12 9,321,285000.0,288652.30529595015,197000.0,350000.0,47.773451758121425,False,20
